Report Type,Id,Class,Submitted Date,Headline,Year,Season,Month,State,County,Location Details,Nearest Town,Nearest Road,Observed,Also Noticed,Other Witnesses,Other Stories,Time And Conditions,Environment,Follow-Up,Follow-Up Report,Date,Author,Media Source,Source Url,Media Issue,Observed.1,A & G References
Report,69193,Class A,2021-05-19,Two motorists spot a Sasquatch TWO DAYS AGO on South Fork Ninnescah River 30 miles west of Witchita,2021,Spring,May,Kansas,Kingman,Investigator Note: The location is where SE 60th Street (Route 364) crosses over the South Fork of Ninnescah River.,Murdock Kansas,SE 71st,When you enter Kingman County from the [east] on [60th street]. It was on the first bridge you come to. He was on the west bank. Just north of the bridge. It is wooded right there but surrounded by farmland.,,My son said he caught a glimps. He was driving.,A out a month ago I thought I saw him but I wasnt sure. Im always looking when we go out. Now Im sure,,Its a wooded area right by the river. Theres no nearby homes. There is one just west of there maybe half mile away.,Follow-up investigation report by BFRO Investigator Matthew Moneymaker,"I spoke with the witness, Patricia Parcel, and her son Adrian. She is 65 years old and lives in Belmont KS with her son. They have lived in Belmont for two years or so, and lived in Kingman KS before that.This brief sighting occurred two days ago (5/17/21) around 6pm. Her son was driving her back home from a doctor's appointment in Witchita. She spotted the figure as they were crossing the bridge over the South Fork of the Ninnescah River. They both saw the figure briefly but she got a better look at it.  She estimates it was 150 feet away from the bridge. He estimates 200 feet away. It was on the north side of the bridge and the west side of the river. It was across from the small island visible in the photo below, which she sent me a little while ago after returning to the location with her son to take photos of the location. The location of the intersection signs (see photo below) is half a mile west of the bridge.She and her son both say the water level is higher today than two days ago. More of the sandy creek bank was visible then. The figure was standing on the river bank out from the treeline. It was a few feet from the water. Right now the spot where it was standing is under water. She could not guess the height of the figure but both witnesses say it was reddish brown and distinct from the green treeline behind it. She is certain it was covered with fur. She says she could definitely see its arms and hands. The hands were darker in color than the body fur. She had heard about two other BFRO reports on or near the same river over the past 20 years so she would look for  sasquatches whenever driving through the area.She thought she had seen a similar figure in roughly the same spot previously but didn't get a good look at it while passing over the bridge. This time she got a better look at it. There was nothing like a stump or debris in the area spot today.The pin on the map may not be the exact spot the figure was standing but it isn't far off. The county road crossing this river is the type of back road in Kansas which may only see a few vehicles each day.  Her son says locals driving these roads do not drive faster than about 50 miles per hour because there are so many deer it is unsafe to drive any faster.This location seem like a good place to look for tracks, etc., right now.For the Google Maps pin for the location of the figure seen in this incident, click here.]",17,,,,,,
Report,69316,Class B,2021-06-11,Possible sasquatch howls heard around 3:30am by resident 6 miles NW of Chillicothe,2021,Summer,June,Missouri,Livingston,Address from where howls were heard:,Chillicothe,Highway 190,I was letting my dogs out to go to the bathroom before I left for work. It was 3:30A.M. I drive an hour to work and get there by 5 so thats why I was up so early.,,,,"3:30A.M. This morning it was calm, no real breeze and clear sky.",Timber/ hilly/farm ground(cattle and row crop),,,11,,,,,,
Report,69464,Class B,2021-07-18,Large trees shaking 15 miles SW of Asheville,2016,Spring,June,North Carolina,Buncombe,I can't give the street or address. This is a high end gated community.,Arden N.C,I26,"I live near Asheville NC. I own a landscaping & Irrigation company. I grew up about an hour east. My parents had 30 acres that was surrounded by 6,000 acres of game land. I've played in the woods, hunted, and camped my whole life. Plus my business also allows me to be outside year round.",Not that I can think of,No,No. Never.,It was probably around 10am,Behind the house its thick forest,Follow-up investigation report by BFRO Investigator Rick Reles,"I spoke with Ryan Millwood, the witness reporting, and have driven near the area where the incident occurred. This is a high end residential community, SW of Asheville N.C. (Exact location requested to be withheld). This property abuts the Pisgah National forest which is extensive for miles.He described how three massive, full grown trees, were sequentially, shaken violently in the woods, behind the property he was at, while installing an irrigation system. He approached the woods after the first action, and heard something massive, sound like it was jumping physically from tree to tree. The second tree shook, bending 25%. A third did the same, this time further in the woods. He was scared, and evacuated the property summarily.",06/15/2016,,,,,,
Report,69269,Class B,2021-05-30,Possible sighting of a Sasquatch on Blue Ridge Parkway at overlook near Masonic Monument,2021,Spring,May,North Carolina,Haywood,We were at the blue Ridge Parkway at the Masonic marker,Maggie Valley,Blue Ridge Parkway,"My son and I had just finished watching the sunset on the Blue Ridge Parkway at the Masonic marker. We were still sitting there watching the overview as a fog was rolling in. It was getting very cold so we got into the car, cranked the car up and started to back up and leave when a very dark large figure ran across the road into the woods. It looked man like.  I turned towards the figure but couldnt see anything. It was entirely too large to be a black bear and definitely wasnt an elk. I havent seen any at all this weekend. The figure was very black. The hairs on my arm and back of my neck stood up straight I have never in my life been so afraid.",,2; We were watching the sunset and taking photos,no,8:51pm dusk and foggy,Blue Ridge Parkway at the overlook near the Masonic marker,,,05/30/2021,,,,,,
Report,69433,Class B,2021-07-11,Possible Sasquatch wood knocks heard near Masonic Monument along Blue Ridge Parkway,2019,Spring,June,North Carolina,Haywood,Take 19W out of Maggie Valley. Turn Right on top of mountain towards Blue Ridge Parkway. Turn left on Parkway towards Cherokee. Past first pull-off to the left turn right on Balsam Mountain Road Also known as Heintooga Ridge Rd. Towards Mason Monument. Before Monument there is a pull-off to the right where we were. Just before that there is a pull-off to the left and the woods to the left of that is where the knock came from.,Maggie Valley,Balsom Mountaon Road.,"Barb and I travel the road off the Blue Ridge Parkway to the Heintooga trail several times a week when it is open. We are flower & wildlife junkies. Apprpx one year ago we were at the pull-off just before the Masonic Marker looking at Fire Pink flowers when out of the blue there were three tree-knocks from across the road. Very loud & distinctive. There was no one else around whatsoever. No wind either. We have noticed rocks that have ""fallen"" down the mountain & landed on the roadway but no sign of where they had come from also. Thanks, C.Z.",,No.,"Yes. Just an article in the Ashevegas Hotsheet ""The sighting occurred after sunset May 30 near the Masonic Marker at Balsam Gap Camp, just off the Blue Ridge Parkway near Maggie Valley, according to the report. (Check out a WNC Magazine feature about the obscure, fascinating marker.) It was getting very cold so we got into the car, cranked the car up and started to back up and leave when a very dark large figure ran across the road into the woods. It looked man like, according to the eyewitness. The hairs on my arm and back of my neck stood up straight I have never in my life been so afraid.",Broad daylight. Perfect weather. No wind. App. 1:00 pm.,,,,Week day.,,,,,,
Report,69143,Class B,2021-05-10,Dog walker reports being paralled at night along dirt road near Sunrise Lake,2000,Fall,,New Hampshire,Strafford,"[Investigator Note:  For the Google Maps pin for the location of the figure seen in this incident,",Middleton,Tanglewood Drive,"It was dark at the time. I was living on a road surrounded by woods. I went out to take my dog for a walk. Our driveway connected to a dirt road that ran up the side from the main rd. We walked to the end of the dirt road and along that road is a tree lining of woods. As we started heading back I looked over a noticed a tall figure staring at me at the edge of the woods. I couldnt make out what it was. It was definitely taller than 7ft and stood on two legs. It had orangish eyes. I started walking back down the road towards my house and when I would stop it would stop an look at me. I would walk some more, so would the thing and then once I stopped it stopped and would look at me. At this point I was really freaked out so I yelled for my dog to run and we sprinted towards the house. When I finally got inside I looked down our driveway and across the road at the tree line and the figure was there still staring at me. I told my father but when he looked he saw nothing.",No noises. I checked the area the next day couldnt see anything,,Not in strafford but reports in Hillsborough and Grafting County or southern NH,Night time 9-10 clear night no clouds moon not yet full but bright enough to light up area a bit,Woods just off a river and further out is some trails and a pond area an beaver dam,Follow-up investigation report by BFRO Investigator Matthew Moneymaker,"I spoke with the witness, Michelle Goodwin, by phone.  She was a teenager at the time of the incident. She no longer lives in the house mentioned in the report. She says the area now has many more houses than back in 2000. Tanglewood Road has been extended as well.She said the figure was a silhouette but definitely not a bear because it was simply too tall and walked on two legs the entire time it paralleled her. It was not more than 5-6 feet into the woods from the side of the roadI asked about the eyes and whether they appeared to be glowing or just reflecting light. She said the eyes seemed to be glowing dimly (which is a common feature of many night time encounters). The color was somewhere between orange and yellow.  Although she became more frightenned as the stalking continued she said the figure was not otherwise aggressive or hostile. She knew very little about the sasquatch/bigfoot subject at the time. It was many years later that she learned more and realized the figure that paralleled her that night was likely one of these creatures, by process of elimination.",,,,,,,
Report,69437,Class B,2021-07-11,Possible Sasquatch wood knocks in forested riverbed beside Chama during lockdown,2020,Summer,July,New Mexico,Rio Arriba,"This is probably not accessible now- we were able to walk back to the area due to everything closed by COVID.  Parked at the rail yard, crossed tracks and walked through the salvage yard area (unused railway equipment).  Followed path to Chama river, crossed at a rocky ford. Continued on the path along the river approximately a quarter mile.",Chama,84,"Summer of 2020 (quarantine year), in late July, I was hiking with a friend along Rio Chama.  Although we were just on the other side of the river from town, the railroad was not running, the campground was closed, and the majority of the town was empty.",Dog exhibiting unusual behavior. Lack of deer scat (deer are everywhere here-),"One,my hiking companion.","No, I didnt know what this could of been, happened to mention it later and was told they were possible wood knocks.","Morning, approximately 8-.9 am. Day was cool, bright, no wind","Cottonwood trees, some Gramble oaks, scrub brush but not dense. River was low.",Follow-up investigation report by BFRO Investigator Matthew Moneymaker,There have been rumors of Sasquatch incidents in the vicinity of Chama for many years.,Late July,,,,,,
Report,68932,Class A,2021-03-27,Resident observes a sasquatch near homes at 2-3am on the outskirts of Bath,2012,Fall,November,New York,Steuben,Edge of village of Bath in the town of Bath.,Bath,Washington street extention,"Visual Report: My name is Alan Y. on about Mid-November 2012 I had a very unusual experience that at first kept me very mixed up, but always stayed in my mind until I started doing research.","November 2019 heard 2 huge body shaking screams from ridge line very close adjacent to my new home in Bath close to same area. Very loud, not any animal I know of here.",No,"Yes, on the BFRO website, and a hunter told me he seen a creature while hunting in Cameron State park close to BFRO sightings",2-3am,"foothills mountains, thick forests, farms, bottoms",Follow-up investigation report by BFRO Investigator Matthew Moneymaker,"I spoke with the witness by phone. He is who he says he is  a reitired army vet. He is credible. The main question with this report is whether he misidentified a human at that distance  140 yards.One test that anyone can do in these circumstances is to open the phone app Google Earth  (free). Zoom in on your own street or where ever you have a view for at least a block. Use the ruler function to set a point where you are standing then measure to a point 420 feet away (140 yards). At 420 feet you would be able to see an illuminated figure well enough to see if its a bear, or if it is wearing clothes or appears to be covered with fur.During the conversation he mentioned that the face appeared to be a slightly lighter color of skin that the cinnamon brown hair, but beyond that he could not discern facial details. Check that yourself at 420 feet. Can you see if a persons face is lighter color than hair, but not much more.The creature was 30-40 feet from nearest house. It was illuminated by a light in back of the house. It was pacing back and forth 20-25 feet span. It had a very smooth gait when pacing back and forth. He said it had shaggy Twisted Sister hair.""A deep ravine was right behind where it was pacing. Lots of deer come around these houses at night. Most land around there is posted ""No Hunting."" He could only see the figure from the hips up, below that it was obscured by rise in ground between him and spot where it was pacing. There was no snow on ground at the time...",Mid,,,,,,
Report,71751,Class B,2021-10-24,Possible sighting in Mohican State Park near Loudonville,2021,Summer,June,Ohio,Ashland,Take Rt. 97 to Park Rd then turn right at the Covered Bridge onto Pleasant Hill Lake Trail Rd,Loudonville,Pleasant Hill Lake Trail Rd,"It was June 18th, 2021 about 4:00 pm at Mohican State Park, Loudonville, Ohio in Ashland County. My best friend and Idrove into the picnic area at the Covered Bridge, and there were no campers, hikers, or people fishing, so we drove into Campsite B, its a narrow road that is parallel to the Mohican River. Then we reached the end of this road where there is a turn-around, so we parked the car and shut off the engine. The front of the car was facing towards the Covered Bridge and the Mohican River was on the driverside of the car, and the thick woods were on the passenger's (my side) and to the rear of us. Also, it was an unusually chilly day for the month of June and it was very cloudy, with no sun and a slight drizzle of rain. So, we sat in the car with the windows down, we could hear birds chirping and the soft babbling sounds of the river. We sat there for about 30 minutes, talking away as women do and I mentioned that I watched a Bigfoot show on tv and we should do ""bigfoot calls"". So, jokingly I started doing whoop whoop calls and it echoed in this small area, we laughed for a couple of minutes then took a drink of our pop and we heard two tree knocks, not loud but not soft. Instantly, I was scared because the sound was very close to us, it was about 30 feet up in the thick woods, and it was very steep, almost straight-up. I knew this was not a person because it's too dangerous to climb. This spooked both of us so we started the car and went back to the Covered Bridge picnic area which is more of an open area. Also, there were a few cars so we did not feel alone, and my friend had to use the restroom and I stayed in the car. The woods were still on my right side and I could hear birds chirping loud and fast then all of a sudden they stopped. Then a rock that was about 6 inches wide came tumbling down on the ground of this steep cliff along with dry leaves falling behind it. So I looked up and about 15-20 feet away I saw the left side of a foot, calf, thigh, and hip of an animal. It looked like it was slipping on the leaves and was trying to gain traction and its leg went straight up and behind a tree. This leg looked like a bodybuilder's leg with short black hair and was about 3-4 feet in length. Then my friend got into the driver's side of the car and we left. So, when I got home I looked up videos on youtube of bears. My leg sighting does not match a bear leg because the hind leg of a bear or dog has an odd angle from the pad of the foot to its leg. But what I saw was a human-like foot with hair that connected to a calf, to a knee, to a thigh then to a hip, and it was super muscular. Also, there have been NO bear sightings in Mohican State Park for many decades.",I thought it was strange that the birds were extremely loud & chirping faster than usual then stopped like all of them...,two of us heard the wood knocks and only one of us saw the leg of the animal,"No, I have never heard of any sightings in this area but recently there were two sightings in the northern part of this county.","It was from 4:00 to 4:30 pm...it was chilly for a summer day, cloudy, no sun, slight drizzle of rain, on & off","It is mixture of Pine, Oak, & Maple Trees along the Mohican River near the Covered Bridge about a mile from the Pleasant Hill Dam & Pleasant Hill Lake",Follow-up investigation report by BFRO Investigator Matthew Moneymaker, ,18,,,,,,
Report,69411,Class B,2021-07-06,Long distance daylight sighting by farm owner 5 miles south of Ashland ,2021,Summer,June,Ohio,Ashland,"Adjoining roads Township Road 1714,",Ashland/Hayesville,State Route 60 South,"The incident occurred on June 9, 2021 at approximately 5:15pm. It started raining around 3:30pm and ended around 5pm. I had to get the grass mowed because it was already too long. Usually, when I mow, I have my cellphone in my shirt pocket. But, since it rained, I didnt want to take the chance of it getting wet. So, I left it in the house.",,No,"There was a sighting in Ashland, Ohio back in April which is about two to three miles away as the crow flies.","Close to 78 degrees that day, humid because it rained for the last hour and a half. Approximately 5:15pm. Lighting conditions were good.",farmland and wooded areas with nearby creeks and ponds,Follow-up investigation report by BFRO Investigator Matthew Moneymaker,"This location of this incident is roughly 5 miles south of the midnight encounter behind the Warehouse 24 gym on the outskirts of Ashland. That incident was also documented in the Richland Source web site by reporter Carl Hunnell. Click here for BFRO report 69065.I've spoken with this witness a few times prior to posting this report. He is very credible and works in law enforcement for the state of Ohio. Because he works in law enforcement he is barred from speaking to the media as an identified law enforcement officer. That's a common thing for most of the country. Thankfully he agreed to meet with a prominent local jouranlist who was willing to document the incident for a local news story but without revealing the witness's name, though the journalist was allowed to verify that he was a law enforcement officer as part of his due diligence. The witness did not get a Class A view of the figure walking across the field but he was able to observe it for a while. The photos below show the grassy field and demonstrate why there were no clear footprints afterward. As stated in the report, the witness investigated the incident himself not long afterward by asking his adult son to stand and walk where the figure had walked. See his comments about that in his report. For the first time we have a witness who is willing to take questions from people about the incident and/or the photos shown below. The link connects to the BFRO Facebook Group page and specifically the posting about this sighting report. The witness will reply to the comments about the posting with the name ""Ashland Witness"".Below that Facebook link is a link to the local newspaper article about the incident. The article was written by Carl Hunnell for the RichlandSource web site after Carl met with the witness at the property where the incident occurred.BFRO Facebook Group Page for discussion and questions about this incident. Click here.Richland Source web site article about this incident: Click here https://bit.ly/3fPxdfg ",9,,,,,,
Report,69065,Class A,2021-04-25,Recent encounter behind Warehouse 24 Gym on the outskirts of Ashland,2021,Spring,April,Ohio,Ashland,[Investigator notes: The sasquatch was spotted at the edge of the treeline behind the Warehouse 24 Gym on the outskirts of Ashland.,Ashland,St Rt 250,"My 20 year old step daughter had a visual sighting last night in Ashland, Ohio. The date was 4/24/2021.  It was about midnight and she had left a 24 hour gym that has woods behind it. She saw a gray over 7 foot creature after hearing a twig snap.  She stated it was way too large to be human and it moved way too fast to be human.",No,No,No,Night,"Cool, calm spring evening",Follow-up investigation report by BFRO Investigator Matthew Moneymaker,"I spoke with the father and later the witness herself. They are both credible. This is not a hoax report. It happened less than a week ago from the time of this posting.Before calling the father of the witness I had figured out the location and examined aerial photos of the surrounding landscape on Google Maps and Bing Maps. There are open fields nearby, and a large swamp 100 yards or so north of the patch of woods, but also some businesses nearby including a Motel 6. That made me somewhat doubtful at first, but this is the very edge of town, not in the middle.The relative lack of contiguous tree cover in the general area, compared to most sighting areas, also made me doubtful before I spoke with the witness and her father. I spoke with the father first. He is a pastor and high school teacher in Mansfield. He mentioned that there were lots of deer tracks in exposed patches of ground around that parcel of woods when he went to investigate the site the day after his daughter's sighting. Deer tracks are likely still visible around there. I spoke with the daughter later in the day today. She is very credible. She's a nursing student at the nearby University and works as a waitress in town. Nothing about her story seemed unusual except for the location. She was certain the gray furred sasquatch stood at least seven feet tall, possibly eight feet tall. Based on its height she was certain that it was not some other type of animal nor a person in a costume. They way it bolted off when it fled is what frightenned her most. It was very fast.As she walked out of the gym around midnight and turned to her right in the direction of her vehicle she was walking in the direction of the treeline. She heard the crack of a twig breaking and looked up in time to see the creature turning to run back into the woods about 30 yards away from her, illuminated by the lighting for the brand new parking lot. It ran back into the woods at an angle to the right and was quickly obscured from her view by the corner of the gym building. She only saw a side view of it as it ran off with large arms swinging. She said she most likely would not have noticed it at all but for the noise of the twig snapping, which she assumed was caused by the creature standing on wood debris.There were no other vehicles parked on that side of the buliding and no vehicles driving on the roads within view.Whichever way that deer would use to access that island of woods behind the Warehouse Gym is likely the same pathway the sasquatch would have used. If deer or a sasquatch came to those woods from the north then there is only 100 yards or so of exposed field to cross (in the dark) before reaching a large swampy area connected to the Jerome Fork of the Mohican River. So the location is more plausible for a sasquatch than it appears at first in aerial photos. The key element is the presence of deer. That shows that there is both a pathway and a reason for a sasquatch to approach the edge of development late at night.The swampy zone directly to the north is a good area to look around right now. A specific place to look around for tracks would be where the swampy zone and Jerome Fork passes underneath the 71 freeway. Follow the deer paths in the area.",24,,,,,,
Report,69398,Class B,2021-07-01,Two men find unusual brush structure while deer hunting 10 miles east of Cambridge,1979,Fall,October,Ohio,Guernsey,Putney ridge rd. 1/2 mi. West of rosedale rd. Strange animal sounds occurred on Rosedale Rd,Cambridge,Putney ridge,"What myself and brother in law found was a structure built of mainly blackberry vines. We were scouting for deer on an abandoned farm in an area that had been stripped for coal 35yrs prior. Deer were plentiful, but not as much as present day. When came across it when we both were following a path that materialized and split in two directions around a spoil bank. My brother in law went one way I the other, both paths lead to the top of the spoil were we came on the structure. We were in total amazement noting it was kind of an igloo shape with an opening to enter. The briars where woven together to form the walls and the inside had been cleared like it had been mowed.","None that I recall, though I wish I knew what to look for at the time",Previously explained. Brother in law was a deputy sheriff at the time,No,Sunny beautiful fall evening,Old strip mine,Follow-up investigation report by BFRO Investigator James Thompson,"I talked to the witness at great length to get a full understanding of what it was he found that day back in 1979.The witness had recently been discharged from the military, his brother-in-law and him went out to check an area they planned on hunting. As they were following a path, it split and they each took a fork. The paths came back together near a strip pit wall. They both emerged from the briars into an open area only to find a structure that was 'made or woven' from the surrounding vegetation.The vines and vegetation were not leaning against each piece, but were woven into a domed structure with an opening. The witness got down on his hands and knees and looked inside. The inside of the structure had about 4 foot height at the center and his 6 foot frame could have easily stretched out inside with plenty of room left over on the bare floor of the structure.The purpose of the structure had baffled him and his brother-in-law for years. The witness had recently watched an old T.V. episode on the Ohio Grassman and saw a structure that reminded him of what he came across years ago. They were similar in shape and fabrication except the one they found that day was not as tall.The area that this was found in is very remote, a scraggly terrain of old strip mining land that is in the midst of what Don Keating called in the 1980s, the Saquatch Triangle.A month later, the brother-in-law was hunting about a mile from there and heard a sound that would keep him out of that area after dark to this day.",,,,,,,
Report,69304,Class B,2021-06-07,"Salt Fork boaters hear a loud, deep howl (""Ohio Howl"") from adjacent shore",2021/06/08,Spring,June,Ohio,Guernsey,Salt Fork State Park,Cambridge,Cadiz Rd/US22,"Earlier this evening (6-5-21) 4 of us were boating at Salt Fork in Ohio. I live less than 10 miles so Ive fished and boated out here for years. This evening (8pm, lake is very busy with several boats in ski zone), we decided to take a break from the ski zone and headed back into a cove for a few minutes. After going about half way back into the cove, we all heard an unusual sound come from our back left (heavily wooded area). It was loud enough to hear over the motor. I shut off the engine so we could figure out what it was. The only way I can describe the sound is like an old mechanical tornado/air raid siren starting to wind up. The sound had a very unusual pronounced low end frequency, or bassy in laymans terms. You could literally almost feel the sound. There are no sirens located out here. I have never heard a sound like that out here, or anywhere before. Weve all heard stories of Sasquatch being out here, but Im very skeptical of this stuff and joke about it usually on every outing. I thought it was unusual, but Bigfoot was definitely not my first answer as to what we heard. After we got back home and kids in bed I googled Bigfoot air raid siren and eventually came across an audio clip called the Ohio Howl from the BFRO website, and its very close to sounding like what we heard, except ours was closer to us.","Girlfriend said she heard knocking sounds, I do not remember hearing them.","3, my girlfriend, a coworker, and his wife","Weve heard many stories about supposedly being Bigfoots at the park, but Im skeptical and havent looked a whole lot into it",8:00pm about hour maybe before sunset,Heavily wooded area next to lake.,Follow-up investigation report by BFRO Investigator James Thompson,"I spoke with the witness on the phone and he identified the area they were at, where the sound came from and the details of the encounter.I also spoke with a local bigfoot group that regularly has members that spend weekend evenings doing hikes, camping and investigations in Salt Fork. They reported back to me that they did indeed have someone in the park that night, they were not doing vocals.I then spoke with park rangers to see if any of their watercraft enforcement craft were active in the area. They were not. DEERASSIC is located across St.Rt. 22 about a mile away and they were not having any activities that weekend.There is a road adjacent to the wooded area that the sound came from. It is used by night fishermen where the road meets the lake. That section of wooded area does not have any hiking trails and the under brush is very heavy this time of year.This area as well as other areas like it in Salt Fork has produced many reports from credible witnesses like this one.",5,,,,,,
Report,69490,Class B,2021-07-24,Missing chickens lead to discovery of large footprints by chicken coop near Bloomingdale,2021,Summer,July,Ohio,Jefferson,Right off of the Bloomingdale exit of Route 22,Bloomingdale,Route 22,"On July 9th at approximately 10:00 A.M. I noticed my five chickens were missing. The chicken coop was full of feathers but no bodies or blood. I did a perimeter check and came across an extremely large footprint. I went back to the house and brought down a tape measure to the footprint and measured it and took pictures with the tape measure beside it. The foot print measured Length: 18"" Width: 9""-10"".","There have been strange noises, growls, howls, etc. These noises have happened after the prints were found.",No other witnesses.,Years before there have been other incidents in the area.,The print was found at approximately 10:00 A.M. sunny daylight conditions.,Heavily wooded area with a small creek.,Follow-up investigation report by BFRO Investigator James Thompson,"I found out about the event through a mutual friend. Not knowing the witnesses address, I contacted his brother, who called him and gave me directions. I met the witness walking along the road. He had come out to meet me because his driveway and house is hard to find. He gave me a rundown of the events as we made our way back to his place.He had been sitting on his front porch the morning of the 9th of July drinking coffee. After getting his second cup he noticed his chickens were quiet that morning. He hadn't even heard the rooster crow. As he walked up to the coop he noticed that the ground inside the pen was covered with feathers. The gate was closed but not latched. Inside the coop also had feathers everywhere, but no chickens, no blood.Thinking a raccoon or coyote could have taken them, he started looking around his property for evidence of what direction they might have been taken. As he is checking the area below the coop, along side the creek in the mud he finds a very large print. Not thinking anyone would believe him, he takes pictures of it using a tape measure for scale. It is over 18 inches.I got there in the evening about an hour before dark. He first took me down to where he found the track. Eastern Ohio had been experiencing an extended period without any measurable rain. I was surprised to find the track still there in the dry creek. I stepped back to get an idea of of which way it had traveled. It seemed to be using the creek to move through the property. There was a bend in the creek and I could see where the grass was disturbed where the creature had stepped before it hit the muddy area.It was starting to get dark so we went up to the coop. The pen was between two out buildings. It had a solid wall back and the front was comprised of 6 ft. high fence and a narrow gate.By this time the feathers were all cleaned up, the dirt floor was hard with no impressions. Using a flash light I inspected the inside of the hutch. He had 4 chickens and a rooster that were missing. Looking around the hutch I noticed some long hairs on a screw that was just inside the door about 4 ft off the floor.With the daylight fading I decided to come back the next day to continue the investigation. I returned around noon the next day with fellow BFRO investigator Jason Kolvalski. After familiarizing Jason with the terrain we proceeded to the creek area where the track and trackline was discovered. We documented and took pictures of the footprint and took measurements of the trackline in the grass. The tracks were between 51 and 55 inches apart. I proceeded to cast the track in the dry mud while Jason scouted around the surrounding area for any other evidence of travel or prints.Not finding any other signs, we proceeded to the chicken pen while the cast dried. The witness had picked up all the feathers in preperations for getting some more chickens. The only access into the coop was through the gate. It was never latched, just pushed shut. There was chicken wire over the top to keep out hawks, but it had been separated at the seams. We looked, but found no evidence of hair, fur or feathers in the wire. Looking around inside the coop Jason pointed out some strands of hair that was on a wire basket hanging from the ceiling. Putting on latex gloves and using a sterilized pair of tweezers we placed the hair from the basket and the screw by the door into individual bags, 6 in total. No other signs or evidence was found in the coop area.Talking with the witness before leaving, we asked if ther was anything that they noticed prior to and after the chickens were taken. He stated that his daughter had visited the day before the incident and noticed and asked about a nasty smell in the air. He told her something was probably dead up in the woods and would check but he never found anything. He also stated that he has been hearing thumps and howling like sounds off to the south of his property.I returned a few days later and placed a long duration recording device on the property and will continue to monitor it. The witness also talked to his neighbor that lives on the top of the hill across from him. The neighbor has also lost some chickens and has heard strange sounds late at night to include heavy breathing. It has unsettled him to the point he once called his son to come over to check the area and now carries his shotgun with him when he is on the porch late at night. ",9th,,,,,,
Report,69469,Class B,2021-07-19,Couple returning home spots a bigfoot crossing their driveway outside Columbiana,2021,Summer,July,Ohio,Mahoning,[Investigator Note:,Columbiana,Rt 46,Through the years I have had several sightings and interactions with what appears to be a bigfoot and family. We own the better part of mystic woods in Columbiana OH. When the gas and oil companies started installing pipelines years back we started having encounters.,Moved unbelievably fast. And was very large!,Two,Have had several incidents over the years. First incident involved multiple witnesses.,Warm clear evening.,Front yard rural pond within 20 ft of overgrown brush.,Follow-up investigation report by BFRO Investigator James Thompson,"I contacted the witness the morning after the sighting and agreed to meet him there that afternoon. After arriving there I talked to the husband and wife about what they witnessed when they came home last night. After being briefed, the wife went inside their house and I had the husband take me through what he experienced.From where the creature crossed the driveway the husband thought it might have been picking up horse chestnuts, an acorn type nut, so we looked for signs around the trees. Not finding anything, we went back to where it crossed the drive way.As they were coming down the driveway, he was paying attention to the edge of the pond, only a couple feet to the left, when his wife, riding in the passenger seat cried out, ""What is that !!""  As he turned to look, it had aready crossed the driveway and was moving  through the yard towards the pond. He lost sight of it when it went into the tall grass and cattails. I had him place me where he was on the driveway and I had him stand where the creature was when he first saw it. Using my range finder I found the distance to be 16 yards. Not finding any sign in the mowed grass, we appoached the pond. I asked him if he or anyone else had come down to look in this area and he replied to me, no. Nobody had come back to the spot.Approaching the pond, I could see something quite large had gone through there. At first there's about 4ft high grass that goes in about 6ft before the cattails start. The cattails go another 10ft before there is open water in the small pond.There were definite impressions in the grass area, about eight of those other than the matted grass. I could make out what appeared to be finger tips or toe impressions, roughly the size of the thickness of a roll of half dollars, in the mud. After photographing them, I backed out to investigate the trail it made through the grass. Other than matted grass, I could not find any impressions in the ground. The rim around the pond has about 10ft of mowed grass before it reaches the woods. Going into the woods I found nothing out if the ordinary. Coming back to the house, the husband informed on numerous occasions he would see something looking in the windows. His daughter who was visiting at the time saw one watching her, it's face being just below the top of the window. I looked at the area around the windows. The owner had let the rose bushes grow unattended and they are quite thick in both window areas, but you could see where something had worn an area on the ground. The height from the ground to the soffit is 10ft. The top of window is 9ft.I went back to the pond to cast the most castable impression out of the ones there. It was a palm imprint. It appeared to be a left palm. The thumb seemed to be laying flat. The next two fingers were spread but were deep into the mud. The next two fingers were visible but not as pronounced as the others.After removing the cast, the husband called his wife out to look at it.This gave me the opportunity to question the wife on just what she saw. I had her place me on the driveway where she was in the car when she saw it cross. She stood where it crossed and I ranged her at 18 yards. I then had her take me through from where she first saw it untill it crossed the driveway into the yard. She started by the Horse Chestnut trees walking infront of them about 20ft to the driveway and across into the grass. I then had the husband go into the yard where he saw it and hold his arm out at the height it was. While he stood there, I had the wife come down and stand at where she thought the length of it from her husband would be.The measurement I took while they stood there was 5ft tall, 8ft wide. The husband said it was not flat on the ground. He could see it's limbs moving, kind of a jumping.When I was watching the wife earlier take me through it's path, her dog was following her. The dog paused right before the driveway sniffing the ground then moving away. When I looked at where it sniffed, there were indentations in the ground of similar size as by the pond. I was able to cast that impression as well.I spent about four hours at the site and found both the husband and wife very credible on what they saw just 23 hours prior. For Facebook discussion about this report click here.",17,,,,,,
